Data,Descrição,Categoria,Valor,Centro de Custo
2025-01-02,Padaria Pão Quente,Alimentação,-12.50,Família
2025-01-02,Café da manhã McDonald's,Alimentação,-28.90,Família
2025-01-03,Padaria Pão Quente,Alimentação,-15.80,Família
2025-01-03,Uber - Casa ao trabalho,Transporte,-18.50,Romeu
2025-01-03,Lanche escolar,Alimentação,-8.00,Filho
2025-01-04,Padaria Pão Quente,Alimentação,-13.20,Família
2025-01-04,Supermercado Dia - Compras da semana,Mercado,-245.80,Família
2025-01-04,Sorvete Kibom,Lazer,-32.00,Família
2025-01-05,Salário,Receita,5000.00,Romeu
2025-01-05,Salário,Receita,4500.00,Julieta
2025-01-05,Padaria Pão Quente,Alimentação,-11.90,Família
2025-01-05,Almoço Restaurante Sabor Caseiro,Alimentação,-68.00,Família
2025-01-06,Padaria Pão Quente,Alimentação,-14.30,Família
2025-01-06,Gasolina Posto Shell,Carro,-85.00,Família
2025-01-06,Farmácia São João - Remédios,Saúde,-42.90,Família
2025-01-07,Padaria Pão Quente,Alimentação,-16.20,Família
2025-01-07,Lanche escolar,Alimentação,-8.00,Filho
2025-01-07,Netflix - Assinatura,Lazer,-55.90,Família
2025-01-08,Padaria Pão Quente,Alimentação,-12.80,Família
2025-01-08,Aluguel Janeiro,Moradia,-1800.00,Família
2025-01-08,Feira livre - Frutas e verduras,Mercado,-78.50,Família
2025-01-09,Padaria Pão Quente,Alimentação,-13.50,Família
2025-01-09,Lanche escolar,Alimentação,-8.00,Filho
2025-01-09,Pizza Hut - Jantar,Alimentação,-89.90,Família
2025-01-10,Padaria Pão Quente,Alimentação,-15.90,Família
2025-01-10,Supermercado Extra - Compras,Mercado,-312.40,Família
2025-01-10,Brinquedos - Loja Ri Happy,Lazer,-125.00,Filho
2025-01-11,Padaria Pão Quente,Alimentação,-11.70,Família
2025-01-11,Churrascaria Boi na Brasa,Alimentação,-156.00,Família
2025-01-11,Cinema - Ingressos,Lazer,-84.00,Família
2025-01-11,Pipoca e refrigerante cinema,Lazer,-52.00,Família
2025-01-12,Padaria Pão Quente,Alimentação,-14.60,Família
2025-01-12,Parque de diversões,Lazer,-95.00,Filho
2025-01-13,Padaria Pão Quente,Alimentação,-12.30,Família
2025-01-13,Gasolina Posto Ipiranga,Carro,-90.00,Família
2025-01-13,Lavagem de carro,Carro,-35.00,Família
2025-01-14,Padaria Pão Quente,Alimentação,-13.80,Família
2025-01-14,Lanche escolar,Alimentação,-8.00,Filho
2025-01-14,Farmácia Drogasil - Vitaminas,Saúde,-67.50,Família
2025-01-15,Conta de Luz - CPFL,Energia,-180.00,Família
2025-01-15,Conta de Água - SABESP,Água,-95.00,Família
2025-01-15,Padaria Pão Quente,Alimentação,-15.40,Família
2025-01-15,Supermercado Carrefour,Mercado,-189.70,Família
2025-01-16,Padaria Pão Quente,Alimentação,-12.90,Família
2025-01-16,Lanche escolar,Alimentação,-8.00,Filho
2025-01-16,Uber Eats - Jantar,Alimentação,-72.50,Família
2025-01-17,Padaria Pão Quente,Alimentação,-14.50,Família
2025-01-17,Feira livre,Mercado,-62.30,Família
2025-01-17,Sorveteria Mil Sabores,Lazer,-45.00,Família
2025-01-18,Plano de Celular Vivo,Telefone,-120.00,Romeu
2025-01-18,Plano de Celular TIM,Telefone,-120.00,Julieta
2025-01-18,Padaria Pão Quente,Alimentação,-13.20,Família
2025-01-18,Almoço no trabalho,Alimentação,-35.00,Romeu
2025-01-19,Padaria Pão Quente,Alimentação,-16.80,Família
2025-01-19,Bob's - Lanche,Alimentação,-42.90,Família
2025-01-20,Padaria Pão Quente,Alimentação,-11.50,Família
2025-01-20,Gasolina Posto BR,Carro,-95.00,Família
2025-01-20,Estacionamento shopping,Transporte,-15.00,Família
2025-01-21,Padaria Pão Quente,Alimentação,-14.20,Família
2025-01-21,Lanche escolar,Alimentação,-8.00,Filho
2025-01-21,Material escolar - Papelaria,Educação,-156.80,Filho
2025-01-22,Padaria Pão Quente,Alimentação,-15.60,Família
2025-01-22,Supermercado Atacadão,Mercado,-278.90,Família
2025-01-22,Açougue Bom Corte,Mercado,-125.00,Família
2025-01-23,Padaria Pão Quente,Alimentação,-12.40,Família
2025-01-23,Lanche escolar,Alimentação,-8.00,Filho
2025-01-23,Farmácia Pague Menos - Dipirona,Saúde,-12.90,Família
2025-01-24,Padaria Pão Quente,Alimentação,-13.90,Família
2025-01-24,Feira livre,Mercado,-71.20,Família
